Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,9,16,2,720,725,758,820,MQ,4223,N689EC,98,115,79,-22,-5,ROC,ORD,528,10,9,0,,0,NA,NA,NA,NA,NA
2008,8,22,5,1027,1020,1349,1340,WN,3342,N490WN,142,140,120,9,7,DEN,MDW,895,9,13,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,1325,1330,2210,2140,US,728,N163US,345,310,314,30,-5,SFO,PHL,2521,11,20,0,,0,0,0,30,0,0
2008,1,28,1,1806,1745,2037,2030,YV,7281,N510MJ,211,225,192,7,21,IAD,AUS,1297,7,12,0,,0,NA,NA,NA,NA,NA
2008,12,21,7,1743,1510,2036,1815,WN,2037,N218WN,113,125,101,141,153,PHX,SAT,843,5,7,0,,0,10,0,0,0,131
2008,8,16,6,2056,2110,2156,2214,OO,3600,N564SW,60,64,49,-18,-14,SUN,SLC,223,6,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1920,1906,2058,2059,OH,5685,N477CA,98,113,74,-1,14,BOS,DCA,399,4,20,0,,0,NA,NA,NA,NA,NA
2008,2,5,2,1103,1100,1237,1243,AS,152,N768AS,94,103,83,-6,3,ANC,OME,539,3,8,0,,0,NA,NA,NA,NA,NA
2008,6,3,2,2027,2030,2153,2215,WN,114,N317WN,86,105,56,-22,-3,PHL,RDU,336,12,18,0,,0,NA,NA,NA,NA,NA
2008,11,1,6,955,940,1101,1050,MQ,3557,N931MQ,66,70,48,11,15,DFW,MAF,309,3,15,0,,0,NA,NA,NA,NA,NA
2008,4,17,4,825,830,940,950,FL,642,N955AT,75,80,62,-10,-5,PHF,LGA,288,6,7,0,,0,NA,NA,NA,NA,NA
2008,9,15,1,1207,1207,1552,1543,UA,876,N584UA,165,156,134,9,0,SEA,DEN,1024,9,22,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,806,800,1008,1000,CO,659,N14735,182,180,165,8,6,DCA,IAH,1208,7,10,0,,0,NA,NA,NA,NA,NA
2008,11,11,2,1557,1605,1827,1813,B6,1401,N296JB,210,188,188,14,-8,FLL,AUS,1105,3,19,0,,0,NA,NA,NA,NA,NA
2008,2,14,4,1648,1655,1753,1825,OH,5538,N963CA,65,90,43,-32,-7,BWI,JFK,184,11,11,0,,0,NA,NA,NA,NA,NA
2008,6,19,4,2136,2040,49,2343,YV,7224,N510MJ,133,123,100,66,56,DEN,MLI,751,5,28,0,,0,0,66,0,0,0
2008,4,2,3,1407,1416,1522,1545,OO,5816,N713SK,75,89,56,-23,-9,MCI,ORD,403,6,13,0,,0,NA,NA,NA,NA,NA
2008,12,9,2,749,740,842,840,WN,2533,N733SA,53,60,42,2,9,LAX,LAS,236,4,7,0,,0,NA,NA,NA,NA,NA
2008,4,5,6,1630,1630,1749,1800,WN,2407,N275WN,79,90,69,-11,0,SLC,ABQ,493,3,7,0,,0,NA,NA,NA,NA,NA
2008,4,4,5,1611,1612,1711,1707,OO,6588,N765SK,60,55,33,4,-1,SFO,RNO,192,6,21,0,,0,NA,NA,NA,NA,NA
2008,4,19,6,640,645,853,908,US,1265,N161UW,133,143,117,-15,-5,PHL,MCO,861,3,13,0,,0,NA,NA,NA,NA,NA
2008,3,12,3,1606,1610,1710,1716,US,1618,N730US,64,66,44,-6,-4,CLT,RIC,256,3,17,0,,0,NA,NA,NA,NA,NA
2008,9,20,6,1943,1930,2046,2048,CO,1192,N87507,63,78,39,-2,13,EWR,BOS,200,11,13,0,,0,NA,NA,NA,NA,NA
2008,11,21,5,845,845,1051,1034,DL,1751,N3747D,246,229,223,17,0,CVG,SLC,1449,7,16,0,,0,0,0,17,0,0
2008,7,13,7,1130,1135,1729,1720,FL,512,N279AT,239,225,211,9,-5,SAN,MKE,1738,14,14,0,,0,NA,NA,NA,NA,NA
2008,7,26,6,1201,1052,1413,1256,YV,7044,N17156,72,64,40,77,69,ORD,TVC,224,2,30,0,,0,77,0,0,0,0
2008,11,30,7,946,915,1533,1450,NW,1616,N323US,287,275,269,43,31,DTW,SJU,1929,5,13,0,,0,31,0,12,0,0
2008,5,10,6,600,605,719,740,9E,5900,80399E,79,95,63,-21,-5,ICT,MEM,453,7,9,0,,0,NA,NA,NA,NA,NA
2008,9,5,5,1039,1043,1204,1201,OO,5474,N566SW,85,78,69,3,-4,ACV,SFO,250,6,10,0,,0,NA,NA,NA,NA,NA
2008,3,23,7,1327,1329,1438,1430,9E,3787,88919E,71,61,31,8,-2,DTW,CMH,155,5,35,0,,0,NA,NA,NA,NA,NA
2008,4,23,3,1400,1400,1919,1920,WN,323,N707SA,199,200,187,-1,0,PHX,MDW,1444,3,9,0,,0,NA,NA,NA,NA,NA
2008,4,10,4,1835,1825,2118,2046,US,1927,N920UW,163,141,113,32,10,BOS,CLT,728,35,15,0,,0,10,0,22,0,0
2008,7,26,6,1636,1635,1854,1915,WN,1717,N492WN,138,160,123,-21,1,LAS,SEA,866,4,11,0,,0,NA,NA,NA,NA,NA
2008,6,19,4,1655,1700,1759,1801,9E,5601,89729E,64,61,36,-2,-5,RHI,MSP,190,21,7,0,,0,NA,NA,NA,NA,NA
2008,1,26,6,1629,1515,1713,1613,OO,6137,N740SK,44,58,33,60,74,SFO,RNO,192,3,8,0,,0,60,0,0,0,0
2008,9,30,2,831,835,1045,1106,EV,4785,N829AS,134,151,108,-21,-4,ATL,HPN,780,3,23,0,,0,NA,NA,NA,NA,NA
2008,12,27,6,623,602,747,720,YV,7101,N506MJ,84,78,57,27,21,CLT,IAD,321,6,21,0,,0,27,0,0,0,0
2008,9,4,4,1106,1115,1405,1412,XE,2641,N12122,119,117,105,-7,-9,MCI,CLE,694,8,6,0,,0,NA,NA,NA,NA,NA
2008,4,4,5,2033,1910,2122,1930,EV,4549,N390CA,109,80,68,112,83,ATL,JAN,341,3,38,0,,0,0,83,29,0,0
2008,8,23,6,1900,1907,2201,2157,OO,6138,N982SW,121,110,87,4,-7,ORD,ABE,654,5,29,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1752,1710,1943,1905,WN,3256,N225WN,111,115,95,38,42,RNO,SEA,564,5,11,0,,0,0,5,0,0,33
2008,9,13,6,1418,1422,1542,1539,DL,1450,N689DL,84,77,58,3,-4,ATL,RDU,356,8,18,0,,0,NA,NA,NA,NA,NA
2008,5,18,7,1433,1350,1501,1425,WN,22,N345SA,88,95,75,36,43,DAL,ELP,562,2,11,0,,0,36,0,0,0,0
2008,12,8,1,1331,1326,1519,1527,US,595,N315AW,108,121,94,-8,5,PDX,LAS,762,5,9,0,,0,NA,NA,NA,NA,NA
2008,7,29,2,1638,1615,1847,1815,DL,39,N905DL,129,120,94,32,23,ATL,FLL,581,7,28,0,,0,23,0,9,0,0
2008,8,25,1,1435,1440,1615,1622,UA,537,N806UA,160,162,133,-7,-5,BOS,ORD,867,13,14,0,,0,NA,NA,NA,NA,NA
2008,7,7,1,1424,1420,1515,1520,WN,461,N921WN,111,120,97,-5,4,SLC,OAK,588,5,9,0,,0,NA,NA,NA,NA,NA
2008,8,18,1,1444,1451,1807,1814,AS,56,N756AS,143,143,130,-7,-7,JNU,SEA,909,6,7,0,,0,NA,NA,NA,NA,NA
2008,10,20,1,1731,1705,1935,1915,EV,5508,N889AS,124,130,107,20,26,ABE,ATL,692,7,10,0,,0,0,0,0,0,20
2008,11,19,3,1027,1035,1251,1255,OO,6078,N920SW,144,140,122,-4,-8,PDX,LAX,834,7,15,0,,0,NA,NA,NA,NA,NA
2008,8,7,4,927,933,1037,1055,EV,4930,N880AS,70,82,54,-18,-6,ATL,CRW,363,2,14,0,,0,NA,NA,NA,NA,NA
2008,6,22,7,824,830,1022,1045,CO,1538,N59630,118,135,92,-23,-6,EWR,CHS,628,7,19,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,1701,1700,1729,1735,WN,101,N613SW,88,95,65,-6,1,CLE,BNA,448,5,18,0,,0,NA,NA,NA,NA,NA
2008,8,6,3,620,620,817,759,OH,5680,N655CA,117,99,87,18,0,CMH,LGA,478,12,18,0,,0,0,0,18,0,0
2008,9,28,7,1545,1550,1825,1745,MQ,4731,N719AE,220,175,142,40,-5,JFK,STL,892,6,72,0,,0,0,0,40,0,0
2008,7,5,6,1848,1835,1916,1905,WN,2932,N904WN,88,90,70,11,13,JAX,BNA,484,5,13,0,,0,NA,NA,NA,NA,NA
2008,10,23,4,1237,1235,1329,1335,WN,678,N270WN,52,60,44,-6,2,HOU,MSY,303,2,6,0,,0,NA,NA,NA,NA,NA
2008,5,6,2,1132,1140,1245,1300,OO,2674,N494CA,73,80,57,-15,-8,OMA,MKE,426,8,8,0,,0,NA,NA,NA,NA,NA
2008,11,13,4,NA,725,NA,845,US,963,,NA,80,NA,NA,NA,ORF,CLT,290,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,6,15,7,1310,1320,1542,1557,CO,1016,N13720,152,157,138,-15,-10,RSW,CLE,1025,6,8,0,,0,NA,NA,NA,NA,NA
2008,12,15,1,1544,1550,1647,1655,WN,2245,N315SW,63,65,50,-8,-6,BWI,BDL,283,3,10,0,,0,NA,NA,NA,NA,NA
2008,3,14,5,1401,1340,1556,1527,EV,4590,N752EV,115,107,87,29,21,ATL,EYW,646,3,25,0,,0,21,0,8,0,0
2008,8,11,1,NA,1235,NA,1545,AA,370,,NA,130,NA,NA,NA,ORD,LGA,733,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,3,22,6,1209,1115,2005,1919,US,734,N190UW,296,304,259,46,54,LAX,PHL,2401,20,17,0,,0,6,0,0,0,40
2008,3,28,5,626,635,754,751,9E,5901,88699E,88,76,64,3,-9,MGM,MEM,280,6,18,0,,0,NA,NA,NA,NA,NA
2008,12,5,5,1657,1629,1833,1755,FL,153,N906AT,96,86,69,38,28,ATL,TPA,406,6,21,0,,0,0,0,10,0,28
2008,10,23,4,1315,1310,1502,1505,WN,2668,N388SW,107,115,90,-3,5,SMF,SEA,605,9,8,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,558,600,752,805,AA,1493,N4YDAA,114,125,99,-13,-2,BNA,DFW,631,5,10,0,,0,NA,NA,NA,NA,NA
2008,6,23,1,1036,915,1356,1205,AA,664,N538AA,200,170,149,111,81,LGA,MCO,950,13,38,0,,0,11,0,30,0,70
2008,5,18,7,832,835,917,931,OO,4003,N607SK,105,116,81,-14,-3,SLC,SAN,626,3,21,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,745,730,906,855,WN,2387,N786SW,81,85,71,11,15,LAS,SJC,386,3,7,0,,0,NA,NA,NA,NA,NA
2008,6,16,1,1602,1603,1732,1737,UA,1524,N481UA,90,94,67,-5,-1,SFO,LAS,414,6,17,0,,0,NA,NA,NA,NA,NA
2008,7,16,3,1823,1630,2047,1855,WN,2275,N391SW,84,85,69,112,113,BNA,JAX,484,5,10,0,,0,112,0,0,0,0
2008,8,9,6,2150,2155,2237,2249,YV,7216,N75993,47,54,23,-12,-5,IAD,MDT,94,6,18,0,,0,NA,NA,NA,NA,NA
2008,8,1,5,1713,1610,1845,1750,MQ,4259,N618AE,92,100,72,55,63,ORD,MEM,491,5,15,0,,0,5,0,0,0,50
2008,10,5,7,1257,1255,1356,1350,AA,1630,N441AA,59,55,33,6,2,DFW,OKC,175,5,21,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,736,740,836,840,MQ,3553,N696AE,60,60,46,-4,-4,DFW,LBB,282,3,11,0,,0,NA,NA,NA,NA,NA
2008,9,8,1,855,900,1016,1025,MQ,4415,N820AE,141,145,128,-9,-5,HPN,ORD,738,6,7,0,,0,NA,NA,NA,NA,NA
2008,10,17,5,625,630,749,802,US,1023,N423US,84,92,57,-13,-5,BOS,PHL,280,8,19,0,,0,NA,NA,NA,NA,NA
2008,6,20,5,1401,1405,1547,1525,WN,903,N691WN,106,80,56,22,-4,SFO,LAX,337,7,43,0,,0,0,0,22,0,0
2008,3,22,6,1234,900,1431,1105,OO,2506,N710BR,117,125,104,206,214,MCI,SAT,706,3,10,0,,0,206,0,0,0,0
2008,5,20,2,1351,1357,1708,1721,UA,452,N905UA,137,144,122,-13,-6,OAK,DEN,957,5,10,0,,0,NA,NA,NA,NA,NA
2008,5,24,6,1425,1425,1548,1550,AA,494,N412AA,83,85,57,-2,0,MCI,ORD,403,12,14,0,,0,NA,NA,NA,NA,NA
2008,7,16,3,1543,1500,1714,1635,UA,1273,N907UA,91,95,73,39,43,EUG,SFO,451,8,10,0,,0,0,0,0,0,39
2008,6,14,6,1036,1040,1139,1135,OO,5776,N581SW,63,55,46,4,-4,PDX,SEA,129,5,12,0,,0,NA,NA,NA,NA,NA
2008,3,12,3,1212,1152,1402,1358,FL,559,N930AT,110,126,95,4,20,BUF,ATL,712,5,10,0,,0,NA,NA,NA,NA,NA
2008,7,24,4,1659,1700,1850,1840,FL,838,N273AT,171,160,145,10,-1,MCO,MDW,989,9,17,0,,0,NA,NA,NA,NA,NA
2008,4,16,3,1417,1418,1731,1719,OO,6508,N465SW,134,121,116,12,-1,LAX,BOI,674,3,15,0,,0,NA,NA,NA,NA,NA
2008,8,6,3,2046,1952,2354,2250,UA,726,N382UA,128,118,109,64,54,DEN,MSP,680,3,16,0,,0,0,35,10,0,19
2008,4,15,2,955,1002,1122,1142,DL,1684,N385DN,87,100,55,-20,-7,SLC,DEN,391,5,27,0,,0,NA,NA,NA,NA,NA
2008,5,15,4,1622,1633,1758,1759,NW,876,N1799U,96,86,68,-1,-11,MOT,MSP,449,12,16,0,,0,NA,NA,NA,NA,NA
2008,12,4,4,648,620,817,755,AA,430,N4YHAA,89,95,74,22,28,DFW,STL,551,4,11,0,,0,22,0,0,0,0
2008,11,16,7,833,840,1101,1105,EV,5503,N925EV,148,145,113,-4,-7,ATL,HPN,780,5,30,0,,0,NA,NA,NA,NA,NA
2008,12,29,1,1605,1605,1726,1733,EV,5261,N850AS,81,88,54,-7,0,ATL,SDF,321,5,22,0,,0,NA,NA,NA,NA,NA
2008,12,1,1,1851,1720,1934,1810,WN,323,N671SW,43,50,35,84,91,SAT,HRL,233,2,6,0,,0,6,0,0,0,78
2008,1,20,7,840,750,1114,1007,OH,5348,N915CA,94,77,65,67,50,ORD,CVG,264,2,27,0,,0,50,0,17,0,0
2008,9,18,4,659,705,1001,1010,AA,2103,N3APAA,122,125,108,-9,-6,BNA,MIA,806,4,10,0,,0,NA,NA,NA,NA,NA
2008,7,14,1,1929,1915,2101,2057,EV,4408,N759EV,92,102,70,4,14,ATL,PHF,508,7,15,0,,0,NA,NA,NA,NA,NA
2008,10,13,1,1133,1140,1257,1310,MQ,4658,N850MQ,84,90,68,-13,-7,RDU,JFK,426,4,12,0,,0,NA,NA,NA,NA,NA
2008,3,2,7,935,935,1213,1230,US,1848,N444US,98,115,81,-17,0,ORD,CLT,599,4,13,0,,0,NA,NA,NA,NA,NA
2008,5,31,6,1154,1158,1326,1336,XE,2979,N29515,92,98,81,-10,-4,XNA,IAH,438,5,6,0,,0,NA,NA,NA,NA,NA
2008,7,2,3,2119,2000,2301,2200,MQ,4569,N713AE,102,120,87,61,79,BOS,RDU,612,3,12,0,,0,0,3,0,0,58
2008,4,5,6,NA,1324,NA,1435,DL,708,N974DL,NA,71,NA,NA,NA,JAX,ATL,270,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,10,22,3,956,955,1212,1205,WN,290,N907WN,136,130,122,7,1,MDW,MSY,825,3,11,0,,0,NA,NA,NA,NA,NA
2008,7,17,4,627,630,708,725,NW,1738,N671MC,41,55,24,-17,-3,GRR,DTW,120,11,6,0,,0,NA,NA,NA,NA,NA
2008,9,29,1,631,630,743,740,WN,1153,N252WN,72,70,56,3,1,OAK,BUR,325,3,13,0,,0,NA,NA,NA,NA,NA
2008,11,24,1,1825,1830,2047,2029,9E,2532,89309E,142,119,83,18,-5,PHL,DTW,453,11,48,0,,0,0,0,18,0,0
2008,12,28,7,1754,1710,2025,2000,NW,1154,N319NB,151,170,129,25,44,IAH,MSP,1034,8,14,0,,0,0,0,0,0,25
2008,10,10,5,1047,1045,1244,1255,WN,571,N235WN,117,130,101,-11,2,PHX,SJC,621,3,13,0,,0,NA,NA,NA,NA,NA
2008,9,10,3,1316,1314,1606,1603,CO,754,N58101,170,169,141,3,2,EWR,PBI,1024,4,25,0,,0,NA,NA,NA,NA,NA
2008,4,20,7,2118,2120,2301,2302,NW,625,N320US,163,162,141,-1,-2,MSP,ABQ,981,8,14,0,,0,NA,NA,NA,NA,NA
2008,4,11,5,2240,2145,43,2336,DL,1050,N3741S,123,111,76,67,55,ATL,BWI,576,6,41,0,,0,0,55,12,0,0
2008,10,2,4,808,755,1053,1014,XE,2352,N14198,225,199,168,39,13,EWR,OMA,1133,4,53,0,,0,13,0,26,0,0
2008,11,9,7,1454,1450,1643,1616,DL,971,N834MH,109,86,76,27,4,ATL,MCO,403,9,24,0,,0,0,0,27,0,0
2008,9,28,7,1315,1320,1631,1626,NW,1750,N767NC,136,126,85,5,-5,MCI,DTW,629,10,41,0,,0,NA,NA,NA,NA,NA
2008,5,24,6,1850,1900,1946,1948,XE,110,N12563,116,108,99,-2,-10,ELP,ONT,670,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,2326,2310,626,630,AA,1842,N5CLAA,240,260,228,-4,16,LAS,MIA,2175,4,8,0,,0,NA,NA,NA,NA,NA
2008,9,17,3,NA,1910,NA,2055,WN,882,,NA,105,NA,NA,NA,BHM,HOU,570,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,2,1,5,925,930,1057,1056,9E,5893,87369E,92,86,48,1,-5,LEX,DTW,296,13,31,0,,0,NA,NA,NA,NA,NA
2008,11,25,2,1903,1905,2027,2040,WN,2713,N365SW,84,95,65,-13,-2,LAS,OAK,407,6,13,0,,0,NA,NA,NA,NA,NA
2008,12,12,5,949,950,1147,1206,US,1784,N950UW,118,136,95,-19,-1,CLT,MHT,737,5,18,0,,0,NA,NA,NA,NA,NA
2008,12,4,4,1836,1835,1924,1930,WN,1909,N506SW,48,55,35,-6,1,AUS,DAL,189,3,10,0,,0,NA,NA,NA,NA,NA
2008,5,13,2,1520,1445,1620,1608,UA,405,N844UA,120,143,107,12,35,DEN,SNA,846,4,9,0,,0,NA,NA,NA,NA,NA
2008,4,14,1,1357,1405,1704,1716,UA,1426,N460UA,127,131,112,-12,-8,ONT,DEN,819,5,10,0,,0,NA,NA,NA,NA,NA
2008,7,14,1,1443,1444,1659,1712,OO,6119,N713SK,136,148,112,-13,-1,ORD,DFW,802,8,16,0,,0,NA,NA,NA,NA,NA
2008,8,18,1,832,825,927,925,WN,1588,N276WN,55,60,45,2,7,DAL,SAT,248,3,7,0,,0,NA,NA,NA,NA,NA
2008,5,24,6,814,815,NA,1526,DL,1276,N388DA,NA,251,NA,NA,-1,SAN,CVG,1865,NA,13,0,,1,NA,NA,NA,NA,NA
2008,8,6,3,844,745,928,840,AA,359,N3CMAA,164,175,145,48,59,DFW,SNA,1205,8,11,0,,0,48,0,0,0,0
2008,11,21,5,1738,1730,1840,1840,US,108,N628AW,62,70,41,0,8,LAS,LAX,236,7,14,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,2129,1945,33,2303,OO,6496,N928SW,124,138,101,90,104,LAX,COS,833,5,18,0,,0,90,0,0,0,0
2008,10,23,4,1329,1335,1406,1415,OO,2792,N471CA,37,40,20,-9,-6,MKE,GRB,107,6,11,0,,0,NA,NA,NA,NA,NA
2008,5,9,5,650,700,800,801,YV,2852,N988HA,70,61,34,-1,-10,FLG,PHX,119,10,26,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1131,1139,1201,1217,OO,5458,N224SW,30,38,14,-16,-8,LAX,OXR,49,3,13,0,,0,NA,NA,NA,NA,NA
2008,8,4,1,1750,1744,1821,1827,CO,1705,N37422,151,163,127,-6,6,IAH,PHX,1009,6,18,0,,0,NA,NA,NA,NA,NA
2008,7,31,4,1149,1150,1420,1423,CO,1726,N34222,331,333,315,-3,-1,EWR,SAN,2425,5,11,0,,0,NA,NA,NA,NA,NA
2008,12,15,1,710,715,1001,1015,DL,1483,N945DL,171,180,132,-14,-5,LGA,MCO,950,7,32,0,,0,NA,NA,NA,NA,NA
2008,11,16,7,1416,1342,1723,1652,YV,7223,N508MJ,127,130,108,31,34,ORD,PWM,900,4,15,0,,0,0,0,0,0,31
2008,11,4,2,1127,1125,1924,1922,US,1500,N106US,297,297,281,2,2,SAN,PHL,2369,5,11,0,,0,NA,NA,NA,NA,NA
2008,10,13,1,1440,1425,1939,1940,WN,1325,N734SA,179,195,166,-1,15,PHX,MDW,1444,5,8,0,,0,NA,NA,NA,NA,NA
2008,12,27,6,1835,1815,2119,2103,XE,2370,N14188,164,168,146,16,20,CLE,RSW,1025,4,14,0,,0,0,0,0,0,16
2008,2,5,2,1648,1655,1755,1803,EV,4429,N836AS,67,68,48,-8,-7,VLD,ATL,208,13,6,0,,0,NA,NA,NA,NA,NA
2008,5,17,6,713,720,820,832,B6,41,N639JB,67,72,48,-12,-7,SYR,JFK,209,8,11,0,,0,NA,NA,NA,NA,NA
2008,12,27,6,700,700,852,830,YV,2631,N925FJ,112,90,65,22,0,SDF,CLT,336,10,37,0,,0,0,0,22,0,0
2008,1,31,4,1025,1030,1306,1315,AA,858,N3AJAA,161,165,141,-9,-5,MIA,PHL,1013,3,17,0,,0,NA,NA,NA,NA,NA
2008,8,19,2,630,630,724,725,WN,2,N616SW,54,55,43,-1,0,HOU,DAL,239,1,10,0,,0,NA,NA,NA,NA,NA
2008,4,10,4,2116,1637,9,1925,YV,7212,N571ML,113,108,84,284,279,ORD,MDT,594,5,24,0,,0,0,0,5,0,279
2008,1,30,3,1518,1355,1759,1714,CO,1596,N78506,161,199,134,45,83,PBI,EWR,1024,15,12,0,,0,0,0,45,0,0
2008,5,27,2,828,830,928,942,OO,3788,N446SW,120,132,100,-14,-2,SLC,SFO,599,7,13,0,,0,NA,NA,NA,NA,NA
2008,6,30,1,554,600,641,655,OO,6117,N763SK,167,175,147,-14,-6,OKC,LAX,1187,7,13,0,,0,NA,NA,NA,NA,NA
2008,9,30,2,1909,1910,2216,2227,CO,1662,N17233,127,137,105,-11,-1,IAH,RSW,861,5,17,0,,0,NA,NA,NA,NA,NA
